00 00 00,Procurement and Contracting,,
Requirements,,,
00 01 01,Project Title Page,,
00 01 03,Project Directory,,
00 01 05,Certifications Page,,
00 01 07,Seals Page,,
00 01 10,Table of Contents,,
00 01 15,List of Drawing Sheets,,
00 01 20,List of Schedules,,
00 10 00,Solicitation,,
00 11 00,Advertisements and Invitations,,
00 11 13,Advertisement for Bids,,
00 11 15,Advertisement for Prequalification of Bidders,,
00 11 16,Invitation to Bid,,
00 11 19,Request for Proposal,,
00 11 53,Request for Qualifications,,
00 20 00,Instructions for Procurement,,
00 21 00,Instructions,,
00 21 13,Instructions to Bidders,,
00 21 16,Instructions to Proposers,,
00 22 00,Supplementary Instructions,,
00 22 13,Supplementary Instructions to Bidders,,
00 22 16,Supplementary Instructions to Proposers,,
00 23 00,Procurement Definitions,,
00 24 00,Procurement Scopes,,
00 24 13,Scopes of Bids,,
2413.13,Scopes of Bids (Multiple Contracts),,
2413.16,Scopes of Bids (Multiple-Prime Contract),,
00 24 16,Scopes of Proposals,,
2416.13,Scopes of Proposals (Multiple Contracts),,
2416.16,Scopes of Proposals (Multiple-Prime Contract),,
00 25 00,Procurement Meetings,,
00 25 13,Pre-Bid Meetings,,
00 25 16,Pre-Proposal Meetings,,
00 26 00,Procurement Substitution Procedures,,
00 30 00,Available Information,,
00 31 00,Available Project Information,,
00 31 13,Preliminary Schedules,,
3113.13,Preliminary Project Schedule,,
3113.16,Preliminary Construction Schedule,,
3113.23,Preliminary Project Phases,,
3113.26,Preliminary Project Sequencing,,
3113.33,Preliminary Project Milestones,,
00 31 16,Project Budget Information,,
00 31 19,Existing Condition Information,,
3119.13,Movement and Vibration Information,,
,,,
2,,,
,,,
,MasterFormat® 2016 - Numbers and Titles,,April 2016
00,3119.16,Acoustic Information,
00,3119.19,Traffic Information,
00,3119.23,Existing Structural Information,
00 31 21,,Survey Information,
00,3121.13,Site Survey Information,
00,3121.16,Measured Drawing Information,
00,3121.19,Photographic Information,
00 31 24,,Environmental Assessment Information,
00,3124.13,Soil Contamination Report,
00,3124.23,Environmental Impact Study Report,
00,3124.26,Environmental Impact Report Evaluation,
00,3124.29,Record of Environmental Impact Decision,
00,3124.33,Environmental Impact Mitigation Report,
00 31 25,,Existing Material Information,
00,3125.16,Existing Concrete Information,
00,3125.19,Existing Masonry Information,
00,3125.23,Existing Metals Information,
00,3125.26,"Existing Wood, Plastics, and Composites Information",
00,3125.29,Existing Thermal and Moisture Protection Information,
00 31 26,,Existing Hazardous Material Information,
00,3126.23,Existing Asbestos Information,
00,3126.26,Existing Lead Information,
00,3126.29,Existing Polychlorinate Biphenyl Information,
00,3126.33,Existing Mold Information,
00,3126.36,Existing Hazardous Waste Drum Information,
00 31 31,,Geophysical Data,
00,3131.13,Seismic Investigations Information,
00,3131.16,Gravity Investigations Information,
00,3131.19,Magnetic Investigations Information,
00,3131.23,Electromagnetic Investigations Information,
00,3131.26,Electrical Resistivity Investigations Information,
00,3131.29,Magnetotelluric Investigations Information,
00 31 32,,Geotechnical Data,
00,3132.13,Subsurface Drilling and Sampling Information,
00,3132.16,Material Testing Information,
00,3132.19,Exploratory Excavation Information,
00,3132.23,Geotechnical Monitoring Information,
00 31 43,,Permit Application,
00 31 46,Permits,,
00 40 00,,Procurement Forms and Supplements,
00 41 00,,Bid Forms,
00 41 13,,Bid Form - Stipulated Sum (Single-Prime Contract),
00 41 16,,Bid Form - Stipulated Sum (Multiple-Prime Contract),
00 41 23,,Bid Form - Construction Management (Single-Prime Contract),
00 41 26,,Bid Form - Construction Management (Multiple-Prime Contract),
00 41 33,,Bid Form - Cost-Plus-Fee (Single-Prime Contract),
00 41 36,,Bid Form - Cost-Plus-Fee (Multiple-Prime Contract),
00 41 43,,Bid Form - Unit Price (Single-Prime Contract),
00 41 46,,Bid Form - Unit Price (Multiple-Prime Contract),
00 41 53,,Bid Form - Design/Build (Single-Prime Contract),
00 41 56,,Bid Form - Design/Build (Multiple-Prime Contract),
00 41 63,,Bid Form - Purchase Contract,
,,,
3,,,
,,,
,MasterFormat® 2016 - Numbers and Titles,April 2016,
00 42 00,,Proposal Forms,
00 42,13,Proposal Form - Stipulated Sum (Single-Prime Contract),
00 42,16,Proposal Form - Stipulated Sum (Multiple-Prime Contract),
00 42,23,Proposal Form - Construction Management (Single-Prime Contract),
00 42,26,Proposal Form - Construction Management (Multiple-Prime Contract),
00 42,33,Proposal Form - Cost-Plus-Fee (Single-Prime Contract),
00 42,36,Proposal Form - Cost-Plus-Fee (Multiple-Prime Contract),
00 42,43,Proposal Form - Unit Price (Single-Prime Contract),
00 42,46,Proposal Form - Unit Price (Multiple-Prime Contract),
00 42,53,Proposal Form - Design/Build (Single-Prime Contract),
00 42,56,Proposal Form - Design/Build (Multiple-Prime Contract),
00 42,63,Proposal Form - Purchase Contract,
00 42,73,Proposal Form - Performance Contract,
00 43 00,,Procurement Form Supplements,
00 43,13,Bid Security Form,
00 43,21,Allowance Form,
00 43,22,Unit Prices Form,
00 43,23,Alternates Form,
00 43,25,Substitution Request Form (During Procurement),
00 43,26,Estimated Quantities Form,
00 43,27,Separate Prices Break-Out Form,
00 43,28,Tax Rebate Form,
00 43,33,Proposed Products Form,
00 43,36,Proposed Subcontractors Form,
00 43,39,Minority Business Enterprise Statement of Intent Form,
00 43,43,Wage Rates Form,
00 43,73,Proposed Schedule of Values Form,
00 43,83,Proposed Construction Schedule Form,
00 43,86,Proposed Work Plan Schedule Form,
00 43,93,Bid Submittal Checklist,
00 45 00,,Representations and Certifications,
00 45,13,Bidder's Qualifications,
00 45,16,Proposer's Qualifications,
00 45,19,Non-Collusion Affidavit,
00 45,23,Statement of Disposal Facility,
00 45,26,Workers Compensation Certificate Schedule,
00 45,33,Non-Segregated Facilities Affidavit,
00 45,36,Equal Employment Opportunity Affidavit,
00 45,39,Minority Business Enterprise Affidavit,
00 45,43,Corporate Resolutions,
00 45,46,Governmental Certifications,
00 50 00,,Contracting Forms and Supplements,
00 51 00,,Notice of Award,
00 52 00,,Agreement Forms,
00 52 13,,Agreement Form - Stipulated Sum (design/bid/build or,
,,design/negotiate/build),
00 52 14,,Subcontract Form - Stipulated Sum (design/bid/build or,
,,design/negotiate/build),
00 52 16,,Agreement Form - Cost-Plus (design/bid/build or design/negotiate/build),
,,,
4,,,
,,,
MasterFormat® 2016 - Numbers and Titles,April 2016,,
00 52 17,Subcontract Form - Cost-Plus (design/bid/build or design/negotiate/build),,
00 52 23,Agreement Form - Construction Manager as Agent or Advisor - Stipulated,,
Sum,,,
00 52 24,Subcontract Form - Construction Manager as Agent or Adviser - Stipulated,,
Sum,,,
00 52 26,Agreement Form - Construction Manager as Agent or Adviser - Cost-Plus,,
00 52 27,Subcontract Form - Construction Manager as Agent or Adviser - Cost-Plus,,
00 52 33,Agreement Form - Construction Manager at Risk - Stipulated Sum,,
00 52 34,Subcontract Form - Construction Manager at Risk - Stipulated Sum,,
00 52 36,Agreement Form - Construction Manager at Risk - Cost-Plus,,
00 52 37,Subcontract Form - Construction Manager at Risk - Cost-Plus,,
00 52 51,Public-Private Partnership Agreement,,
00 52 52,Agreement for Preliminary Services - Owner-Design/Builder,,
00 52 53,Agreement Form - Owner-Design/Builder - Stipulated Sum,,
00 52 54,Subcontract Form - Design/Build - Stipulated Sum,,
00 52 56,Agreement Form - Owner-Design/Builder - Cost-Plus,,
00 52 57,Subcontract Form - Design/Build - Cost-Plus,,
00 52 63,Agreement Form - Purchase - Stipulated Price,,
00 52 73,Agreement Form - Performance Contract,,
00 52 93,Multi-Party Agreement Form - Integrated Project Delivery,,
00 52 96,Agreement between Single-Purpose Entity and Owner - Integrated Project,,
Delivery,,,
00 52 97,Agreement between Single-Purpose Entity and Non-Owner - Integrated,,
,Project Delivery,,
00 52 98,Agreement between Single-Purpose Entity and Consultant - Integrated,,
,Project Delivery,,
00 54 00,Agreement Form Supplements,,
00 54 13,Supplementary Scope Statement,,
00 54 21,Allowances Schedule,,
