Name,Template,Reference,Type
1d-interleaved-parityfec,application/1d-interleaved-parityfec,[RFC6015],application
3gpdash-qoe-report+xml,application/3gpdash-qoe-report+xml,[_3GPP][Ozgur_Oyman],application
3gppHal+json,application/3gppHal+json,[_3GPP][Ulrich_Wiehe],application
3gppHalForms+json,application/3gppHalForms+json,[_3GPP][Ulrich_Wiehe],application
3gpp-ims+xml,application/3gpp-ims+xml,[_3GPP][John_M_Meredith],application
A2L,application/A2L,[ASAM][Thomas_Thomsen],application
activemessage,application/activemessage,[Ehud_Shapiro],application
activity+json,application/activity+json,[W3C][Benjamin_Goering],application
alto-costmap+json,application/alto-costmap+json,[RFC7285],application
alto-costmapfilter+json,application/alto-costmapfilter+json,[RFC7285],application
alto-directory+json,application/alto-directory+json,[RFC7285],application
alto-endpointprop+json,application/alto-endpointprop+json,[RFC7285],application
alto-endpointpropparams+json,application/alto-endpointpropparams+json,[RFC7285],application
alto-endpointcost+json,application/alto-endpointcost+json,[RFC7285],application
alto-endpointcostparams+json,application/alto-endpointcostparams+json,[RFC7285],application
alto-error+json,application/alto-error+json,[RFC7285],application
alto-networkmapfilter+json,application/alto-networkmapfilter+json,[RFC7285],application
alto-networkmap+json,application/alto-networkmap+json,[RFC7285],application
alto-updatestreamcontrol+json,application/alto-updatestreamcontrol+json,[RFC8895],application
alto-updatestreamparams+json,application/alto-updatestreamparams+json,[RFC8895],application
AML,application/AML,[ASAM][Thomas_Thomsen],application
andrew-inset,application/andrew-inset,[Nathaniel_Borenstein],application
applefile,application/applefile,[Patrik_Faltstrom],application
ATF,application/ATF,[ASAM][Thomas_Thomsen],application
ATFX,application/ATFX,[ASAM][Thomas_Thomsen],application
atom+xml,application/atom+xml,[RFC4287][RFC5023],application
atomcat+xml,application/atomcat+xml,[RFC5023],application
atomdeleted+xml,application/atomdeleted+xml,[RFC6721],application
atomicmail,application/atomicmail,[Nathaniel_Borenstein],application
atomsvc+xml,application/atomsvc+xml,[RFC5023],application
atsc-dwd+xml,application/atsc-dwd+xml,[ATSC],application
atsc-dynamic-event-message,application/atsc-dynamic-event-message,[ATSC],application
atsc-held+xml,application/atsc-held+xml,[ATSC],application
atsc-rdt+json,application/atsc-rdt+json,[ATSC],application
atsc-rsat+xml,application/atsc-rsat+xml,[ATSC],application
ATXML,application/ATXML,[ASAM][Thomas_Thomsen],application
auth-policy+xml,application/auth-policy+xml,[RFC4745],application
bacnet-xdd+zip,application/bacnet-xdd+zip,[ASHRAE][Dave_Robin],application
batch-SMTP,application/batch-SMTP,[RFC2442],application
beep+xml,application/beep+xml,[RFC3080],application
calendar+json,application/calendar+json,[RFC7265],application
calendar+xml,application/calendar+xml,[RFC6321],application
call-completion,application/call-completion,[RFC6910],application
CALS-1840,application/CALS-1840,[RFC1895],application
captive+json,application/captive+json,[RFC8908],application
cbor,application/cbor,[RFC8949],application
cbor-seq,application/cbor-seq,[RFC8742],application
cccex,application/cccex,[_3GPP],application
ccmp+xml,application/ccmp+xml,[RFC6503],application
ccxml+xml,application/ccxml+xml,[RFC4267],application
CDFX+XML,application/CDFX+XML,[ASAM][Thomas_Thomsen],application
cdmi-capability,application/cdmi-capability,[RFC6208],application
cdmi-container,application/cdmi-container,[RFC6208],application
cdmi-domain,application/cdmi-domain,[RFC6208],application
cdmi-object,application/cdmi-object,[RFC6208],application
cdmi-queue,application/cdmi-queue,[RFC6208],application
cdni,application/cdni,[RFC7736],application
CEA,application/CEA,[ASAM][Thomas_Thomsen],application
cea-2018+xml,application/cea-2018+xml,[Gottfried_Zimmermann],application
cellml+xml,application/cellml+xml,[RFC4708],application
cfw,application/cfw,[RFC6230],application
clr,application/clr,[IMS_Global][Andy_Miller],application
clue_info+xml,application/clue_info+xml,[RFC8846],application
clue+xml,application/clue+xml,[RFC8847],application
cms,application/cms,[RFC7193],application
cnrp+xml,application/cnrp+xml,[RFC3367],application
coap-group+json,application/coap-group+json,[RFC7390],application
coap-payload,application/coap-payload,[RFC8075],application
commonground,application/commonground,[David_Glazer],application
conference-info+xml,application/conference-info+xml,[RFC4575],application
cpl+xml,application/cpl+xml,[RFC3880],application
cose,application/cose,[RFC-ietf-cose-rfc8152bis-struct-15],application
cose-key,application/cose-key,[RFC-ietf-cose-rfc8152bis-struct-15],application
cose-key-set,application/cose-key-set,[RFC-ietf-cose-rfc8152bis-struct-15],application
csrattrs,application/csrattrs,[RFC7030],application
csta+xml,application/csta+xml,[Ecma_International_Helpdesk],application
CSTAdata+xml,application/CSTAdata+xml,[Ecma_International_Helpdesk],application
csvm+json,application/csvm+json,[W3C][Ivan_Herman],application
cwt,application/cwt,[RFC8392],application
cybercash,application/cybercash,[Donald_E._Eastlake_3rd],application
dash+xml,application/dash+xml,[Thomas_Stockhammer][ISO-IEC_JTC1],application
dashdelta,application/dashdelta,[David_Furbeck],application
davmount+xml,application/davmount+xml,[RFC4709],application
dca-rft,application/dca-rft,[Larry_Campbell],application
DCD,application/DCD,[ASAM][Thomas_Thomsen],application
dec-dx,application/dec-dx,[Larry_Campbell],application
dialog-info+xml,application/dialog-info+xml,[RFC4235],application
dicom,application/dicom,[RFC3240],application
dicom+json,application/dicom+json,[DICOM_Standards_Committee][David_Clunie][James_F_Philbin],application
dicom+xml,application/dicom+xml,[DICOM_Standards_Committee][David_Clunie][James_F_Philbin],application
DII,application/DII,[ASAM][Thomas_Thomsen],application
DIT,application/DIT,[ASAM][Thomas_Thomsen],application
dns,application/dns,[RFC4027],application
dns+json,application/dns+json,[RFC8427],application
dns-message,application/dns-message,[RFC8484],application
dots+cbor,application/dots+cbor,[RFC8782],application
dskpp+xml,application/dskpp+xml,[RFC6063],application
dssc+der,application/dssc+der,[RFC5698],application
dssc+xml,application/dssc+xml,[RFC5698],application
dvcs,application/dvcs,[RFC3029],application
ecmascript,application/ecmascript,[RFC4329],application
EDI-consent,application/EDI-consent,[RFC1767],application
EDIFACT,application/EDIFACT,[RFC1767],application
EDI-X12,application/EDI-X12,[RFC1767],application
efi,application/efi,[UEFI_Forum][Samer_El-Haj-Mahmoud],application
elm+json,application/elm+json,[HL7][Bryn_Rhodes],application
elm+xml,application/elm+xml,[HL7][Bryn_Rhodes],application
EmergencyCallData.cap+xml,application/EmergencyCallData.cap+xml,[RFC8876],application
EmergencyCallData.Comment+xml,application/EmergencyCallData.Comment+xml,[RFC7852],application
EmergencyCallData.Control+xml,application/EmergencyCallData.Control+xml,[RFC8147],application
EmergencyCallData.DeviceInfo+xml,application/EmergencyCallData.DeviceInfo+xml,[RFC7852],application
EmergencyCallData.eCall.MSD,application/EmergencyCallData.eCall.MSD,[RFC8147],application
EmergencyCallData.ProviderInfo+xml,application/EmergencyCallData.ProviderInfo+xml,[RFC7852],application
EmergencyCallData.ServiceInfo+xml,application/EmergencyCallData.ServiceInfo+xml,[RFC7852],application
